NO.,hostile_offline,hostile_online,aggression,online_offline
1462,0.5,0.566666667,0.805555556,0.06666666700000001
1463,0.055555556,0,0.583333333,-0.055555556
1464,0,0,0.791666667,0
1465,0,0,0.208333333,0
1466,1,0.9,0.791666667,-0.09999999999999998
1467,0,0.033333333,0.5,0.033333333
1468,0.5,0.533333333,0.5,0.033333332999999965
1469,0,0,0.652777778,0
1470,0,0.333333333,0.777777778,0.333333333
1471,0,0.1,0.305555556,0.1
1472,0.888888889,0.866666667,0.75,-0.022222222000000014
1473,0,0,0.041666667,0
1474,0,0,0.305555556,0
1475,0.166666667,0.2,0.388888889,0.03333333300000002
1476,0,0,0.236111111,0
1477,0.333333333,0.333333333,0.430555556,0
1478,0,0,0.069444444,0
1479,0,0,0.166666667,0
1480,0,0,0.361111111,0
1481,0,0,0.125,0
1482,0,0,0.083333333,0
1483,0,0,0.208333333,0
1484,0,0,0.347222222,0
1485,0.111111111,0.233333333,0.583333333,0.122222222
1486,0.777777778,0.733333333,0.861111111,-0.044444445
1487,0.111111111,0.066666667,0.777777778,-0.044444444
1488,0,0,0.166666667,0
1489,0.055555556,0.033333333,0.125,-0.022222223
1490,0,0.033333333,0.236111111,0.033333333
1491,0.055555556,0,0.166666667,-0.055555556
1492,0,0,0.333333333,0
1493,0,0,0.347222222,0
1494,0.166666667,0.1,0.486111111,-0.06666666699999999
1495,0.055555556,0,0.416666667,-0.055555556
1496,0,0,0.222222222,0
1497,0,0,0.083333333,0
1498,0,0,0.347222222,0
1499,0.055555556,0.1,0.5,0.04444444400000001
1500,0.055555556,0.033333333,0.555555556,-0.022222223
1501,0.055555556,0,0.375,-0.055555556
1502,0,0,0.125,0
1503,0.055555556,0.133333333,0.569444444,0.07777777699999999
1504,0,0,0.555555556,0
1505,0.055555556,0,0.416666667,-0.055555556
1506,0.055555556,0.033333333,0.555555556,-0.022222223
1507,0,0.033333333,0.402777778,0.033333333
1508,0,0.066666667,0.291666667,0.066666667
1509,0,0,0.138888889,0
1510,0,0,0.402777778,0
1511,0.055555556,0,0.263888889,-0.055555556
1512,0.055555556,0.166666667,0.472222222,0.11111111099999998
1513,0.055555556,0.066666667,0.388888889,0.011111111
1514,0,0,0.361111111,0
1515,0.166666667,0.266666667,0.444444444,0.10000000000000003
1516,0,0,0.424242424242424,0
1517,0,0,0.263888888888889,0
1518,0.583333333333333,0.583333333333333,0.694444444444445,0
1519,0,0,0.347222222222222,0
1520,0,0,0.291666666666667,0
1521,0,0,0.319444444444444,0
1522,0,0,0.0555555555555555,0
1523,0,0,0.513888888888889,0
1524,0.0833333333333333,0.111111111111111,0.727272727272727,0.027777777777777693
1525,0.0416666666666667,0,0.125,-0.0416666666666667
1526,0.0833333333333333,0,0.222222222222222,-0.0833333333333333
1527,0,0,0.196969696969697,0
1528,0,0,0.378787878787879,0
1529,0,0,0.486111111111111,0
1530,0,0,0.694444444444445,0
1531,0.0416666666666667,0,0.138888888888889,-0.0416666666666667
1532,0,0,0.181818181818182,0
1533,0,0,0.347222222222222,0
1534,0.583333333333333,0.666666666666667,0.694444444444445,0.08333333333333393
1535,0,0,0.287878787878788,0
1536,0,0,0.569444444444445,0
1537,0,0,0.208333333333333,0
1538,0,0,0.180555555555556,0
1539,0,0,0.208333333333333,0
1540,0,0,0.263888888888889,0
1541,0,0,0.409090909090909,0
1542,0,0,0.375,0
1543,0.0416666666666667,0,0.296296296296296,-0.0416666666666667
1544,0,0,0.180555555555556,0
1545,0.0416666666666667,0,0.527777777777778,-0.0416666666666667
1546,0,0.0555555555555555,0.347222222222222,0.0555555555555555
1547,0,0,0.375,0
1548,0,0,0.305555555555556,0
1549,0,0,0.277777777777778,0
1550,0,0,0.305555555555556,0
1551,0,0,0.236111111111111,0
1552,0,0,0.194444444444444,0
1553,0,0,0.194444444444444,0
1554,0.0833333333333333,0,0.484848484848485,-0.0833333333333333
1555,0,0,0.236111111111111,0
1556,0.0833333333333333,0.0277777777777778,0.277777777777778,-0.0555555555555555
1557,0.0833333333333333,0,0.236111111111111,-0.0833333333333333
1558,0,0,0.277777777777778,0
1559,0,0,0.111111111111111,0
1560,1,1,0.930555555555555,0
1561,0.708333333333333,0.611111111111111,0.736111111111111,-0.09722222222222199
1562,0,0,0.319444444444444,0
1563,0,0,0.611111111111111,0
1564,0.125,0.0277777777777778,0.45,-0.0972222222222222
1565,0.541666666666667,0.5,0.444444444444444,-0.04166666666666696
1566,0.166666666666667,0,0.263888888888889,-0.166666666666667
1567,0,0,0.333333333333333,0
1568,0,0,0.319444444444444,0
1569,0,0,0.319444444444444,0
1570,0,0,0.111111111111111,0
1571,0,0,0.291666666666667,0
1572,0.541666666666667,0.555555555555555,0.566666666666667,0.013888888888888062
1573,0,0,0.166666666666667,0
1574,0,0,0.416666666666667,0
1575,0.125,0,0.597222222222222,-0.125
1576,0.125,0.111111111111111,0.236111111111111,-0.013888888888889006
1577,0,0,0.111111111111111,0
1578,0,0,0.45,0
1579,0.0833333333333333,0,0.638888888888889,-0.0833333333333333
1580,0,0,0.305555555555556,0
1581,0,0,0.305555555555556,0
1582,0.0416666666666667,0.125,0.486111111111111,0.0833333333333333
1583,0,0,0.361111111111111,0
1584,0.0555555555555555,0.0333333333333333,0.305555555555556,-0.0222222222222222
1585,0.208333333333333,0.111111111111111,0.303030303030303,-0.09722222222222202
1586,0,0,0.222222222222222,0
1587,0,0,0.696969696969697,0
1588,0.0833333333333333,0.0277777777777778,0.444444444444444,-0.0555555555555555
1589,0.0416666666666667,0.0555555555555555,0.486111111111111,0.013888888888888798
1590,0,0,0.257575757575758,0
1591,0,0,0.569444444444445,0
1592,0,0,0.194444444444444,0
1593,0,0,0.402777777777778,0
1594,0,0,0.180555555555556,0
1595,0,0,0.208333333333333,0
1596,0.75,0.75,0.555555555555555,0
1597,0,0,0.333333333333333,0
1598,0,0,0.319444444444444,0
1599,0,0,0.333333333333333,0
1600,0,0,0.111111111111111,0
1601,0,0,0.227272727272727,0
1602,0,0,0.430555555555556,0
1603,0,0,0.361111111111111,0
1604,0,0.0833333333333333,0.361111111111111,0.0833333333333333
1605,0,0,0.212121212121212,0
1606,0,0,0.291666666666667,0
1607,0,0,0.575757575757576,0
1608,0.583333333333333,0.5,0.583333333333333,-0.08333333333333304
1609,0.0833333333333333,0.0277777777777778,0.263888888888889,-0.0555555555555555
1610,0.0416666666666667,0.222222222222222,0.333333333333333,0.1805555555555553
1611,0,0,0.236111111111111,0
1612,0,0,0.212121212121212,0
1613,0,0,0.291666666666667,0
1614,0,0,0.347222222222222,0
1615,0.125,0.138888888888889,0.444444444444444,0.013888888888889006
1616,0,0,0.283333333333333,0
1617,0,0.25,0.277777777777778,0.25
1618,0.25,1,0.616666666666667,0.75
1619,0,0,0.152777777777778,0
1620,0,0,0.361111111111111,0
1621,0,0,0.375,0
1622,0.0833333333333333,0,0.333333333333333,-0.0833333333333333
1623,0.0416666666666667,0,0.444444444444444,-0.0416666666666667
1624,0,0,0.375,0
1625,0,0,0.541666666666667,0
1626,0,0,0.378787878787879,0
1627,0.416666666666667,0.527777777777778,0.361111111111111,0.111111111111111
1628,0.416666666666667,0.333333333333333,0.527777777777778,-0.08333333333333404
1629,0.0833333333333333,0,0.305555555555556,-0.0833333333333333
1630,0,0,0.25,0
1631,0.0416666666666667,0,0.305555555555556,-0.0416666666666667
1632,0,0,0.319444444444444,0
1633,0,0,0.236111111111111,0
1634,0,0,0.222222222222222,0
1635,0,0,0.257575757575758,0
